screen_name,created_at,retweet_count,favorite_count,text
realDonaldTrump,Fri Sep 09 02:00:32 +0000 2016,2859,7030,Final poll results from NBC on last nights Commander-in-Chief Forum. Thank you! #ImWithYou #MAGA https://t.co/C5ipaxUN7B
realDonaldTrump,Fri Sep 09 00:39:36 +0000 2016,6463,17951,It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails &amp; the veteran who said she should be in jail.
realDonaldTrump,Thu Sep 08 23:56:22 +0000 2016,5405,13223,"More poll results from last nights Commander-in-Chief Forum. 
#AmericaFirst #TrumpTrain https://t.co/FxyBL6fO1h"
realDonaldTrump,Thu Sep 08 19:52:32 +0000 2016,11633,27028,Last nights results - in poll taken by NBC. #AmericaFirst #ImWithYou https://t.co/sCOnny1fl3
realDonaldTrump,Thu Sep 08 18:17:01 +0000 2016,3824,12567,"With Luis, Mexico and the United States would have made wonderful deals together - where both Mexico and the US would have benefitted."
realDonaldTrump,Thu Sep 08 18:16:25 +0000 2016,3710,12860,Mexico has lost a brilliant finance minister and wonderful man who I know is highly respected by President Peña Nieto.
realDonaldTrump,Thu Sep 08 16:25:36 +0000 2016,8599,24244,Hillary Clinton answered email questions differently last night than she has in the past. She is totally confused. Unfit to serve as #POTUS.
realDonaldTrump,Thu Sep 08 15:17:47 +0000 2016,9436,28467,Hillary just gave a disastrous news conference on the tarmac to make up for poor performance last night. She's being decimated by the media!
realDonaldTrump,Thu Sep 08 15:09:13 +0000 2016,5956,0,RT @DanScavino: Last nights winner was clear &amp; it will be proven time &amp; time again - lets #MAGA!! Lets WIN!! #TrumpTrain https://t.co/sGqp9…
realDonaldTrump,Thu Sep 08 12:10:13 +0000 2016,8120,26298,"""A rough night for Hillary Clinton""  ABC News."
realDonaldTrump,Thu Sep 08 10:52:27 +0000 2016,4724,19687,"Wow, reviews are in - THANK YOU!"
realDonaldTrump,Thu Sep 08 10:43:12 +0000 2016,2061,9264,COMING UP @GenFlynn @newtgingrich on @foxandfriends
realDonaldTrump,Thu Sep 08 10:39:04 +0000 2016,3510,14648,Thank you to @foxandfriends for the nice reviews of last night.
realDonaldTrump,Thu Sep 08 09:59:36 +0000 2016,8819,20772,Thank you America - great #CommanderInChiefForum polls! https://t.co/Rcu6KaRGCB
realDonaldTrump,Thu Sep 08 04:02:15 +0000 2016,8658,31879,Thank you to our fantastic veterans. The reviews and polls from almost everyone of my Commander-in-Chief presentation were great. Nice!
realDonaldTrump,Wed Sep 07 22:07:20 +0000 2016,7691,19897,"Thank you Peter - if elected, I will think big for our country &amp; never let the American people down! #AmericaFirst https://t.co/6Nwu7EMJ9d"
realDonaldTrump,Wed Sep 07 20:23:56 +0000 2016,6550,20743,"Wow - thank you Pensacola, FL. See you Friday at 7pm -- join me!
https://t.co/JCO7Za78tV https://t.co/LYmpRyY0Hq"
realDonaldTrump,Wed Sep 07 18:12:26 +0000 2016,8524,25511,#AmericaFirst! https://t.co/fQGxwAjXD7
realDonaldTrump,Wed Sep 07 15:11:59 +0000 2016,8123,21415,"'Donald Trump leads Hillary Clinton by 19 points among military, veteran voters: poll' #AmericaFirst #MAGA
https://t.co/5FmxGtLkwt"
realDonaldTrump,Wed Sep 07 04:22:37 +0000 2016,5121,16448,"""@adhd_fa:Kudos to @PARISDENNARD for standing up to CNN's attempt to bully you and shout you down for defending @realDonaldTrump #media bias"
mgleslie6,Fri Apr 22 00:33:15 +0000 2016,13,0,"RT @wendellray: ""The Crime."" Now Playing on a Radio Station Near You!! https://t.co/plKKPsN1Sa https://t.co/LDWkXmf5ra"
mgleslie6,Mon Apr 04 16:24:11 +0000 2016,1,0,RT @RelaxationPlus: @mgleslie6 Thanks for the follow Mike! RT for $10 off a massage or spa service! Have a great day!
mgleslie6,Fri Apr 01 23:29:43 +0000 2016,1,7,"Perfect Friday night.  Listening to @wendellray with @doridleslie @PinkShellResort
#relaxingtogreatmusic #wendellray https://t.co/Jt0epA0R9y"
mgleslie6,Thu Mar 31 18:12:40 +0000 2016,0,0,"Glorious day watching @Twins.  @doridleslie 
#coldcoorslight #beautifulhammondstadium https://t.co/lz71sX3g1Q"
mgleslie6,Thu Mar 31 01:07:45 +0000 2016,0,3,The great @wendellray at the salty crab bar on @FortMyersBeach with @doridleslie https://t.co/5pshAAoSvC
mgleslie6,Tue Mar 29 18:49:36 +0000 2016,1,0,RT @doridleslie: @Twins @mgleslie6 We ❤️the twins!! https://t.co/fB0IVTmYkm
mgleslie6,Tue Mar 29 18:49:30 +0000 2016,0,1,@doridleslie @Twins
mgleslie6,Tue Mar 29 18:30:17 +0000 2016,0,2,"Watching @Twins with @doridleslie Nothing better than baseball!
#lovebaseball #lovethetwins https://t.co/f1fQTkRx3s"
mgleslie6,Sun Mar 27 19:52:05 +0000 2016,0,2,Enjoying a beer with @doridleslie at the Fish House on @FortMyersBeach https://t.co/c0TDVCmIOk
mgleslie6,Mon Feb 08 03:45:16 +0000 2016,0,0,Craft beer snobs will be criticizing Peyton tonight.
mgleslie6,Mon Feb 08 03:36:44 +0000 2016,0,0,Cant wait for spring training! #baseballjunkie
mgleslie6,Fri Jan 01 00:28:09 +0000 2016,1,4,Happy new year everyone!
mgleslie6,Thu Dec 03 03:47:20 +0000 2015,2,0,"RT @SethTweets: Not to go all political, but if sending out thoughts and prayers following tragedy becomes a negative, that's not good."
mgleslie6,Wed Jul 18 20:07:51 +0000 2012,0,5,"@Corriehegwood  Ive seen several trainers promote a 16/8 eating schedule, eat between 11/7 and fast for 16 hours.  Your thoughts on this?"
Trump,Fri Sep 16 21:35:08 +0000 2016,21,61,Did you know that @TrumpGolfDC Is located just 26 miles away from the White House? https://t.co/e5F1O0BWIn https://t.co/nrBVQM34O1
Trump,Fri Sep 16 17:11:44 +0000 2016,1246,0,RT @EricTrump: It is amazing to see some of our first guests in the lobby of @TrumpDC! So proud of our great team! https://t.co/yuzsnJv20T
Trump,Fri Sep 16 16:21:09 +0000 2016,118,279,We're thrilled to unveil the stunning restoration of this iconic landmark. Thank you to our brilliant team @TrumpDC! https://t.co/loToqDulGj
Trump,Thu Sep 15 21:01:16 +0000 2016,133,467,Sit back and relax. It's almost the weekend at @TrumpWinery! 🍷 https://t.co/0OAtdp7PuC https://t.co/zjCCP1SNcJ
Trump,Thu Sep 15 14:36:50 +0000 2016,17,54,"Originally built by HJ Heinz in 1919, this private stone manor estate can be all yours: https://t.co/OXQEEaRojX https://t.co/xvFWOr1oyt"
Trump,Wed Sep 14 15:30:21 +0000 2016,37,116,"Rising 68 stories above 5th Ave, @TrumpTower is one of New York’s most visited attractions since completion in 1983 https://t.co/yKhxWoTtNf"
Trump,Tue Sep 13 18:23:11 +0000 2016,18,74,"Between stately homes and equestrian farms, lies the “19th Hole” par-3 island green at @TrumpColtsNeck https://t.co/oTNocyU7dw"
Trump,Tue Sep 13 18:13:19 +0000 2016,22,63,"""A deal's not done until there's a handshake or there's a signature."" @IvankaTrump https://t.co/Q8JJ0BAFec"
