screen_name,text
GOP,RT @GOPconvention: #Oregon votes today. That means 62 days until the @GOPconvention! https://t.co/OoH9FVb7QS
TheDemocrats,RT @DWStweets: The choice for 2016 is clear: We need another Democrat in the White House. #DemDebate #WeAreDemocrats http://t.co/0n5g0YN46f
HillaryClinton,"Trump's calling for trillion dollar tax cuts for Wall Street.

It's time for them to pay their fair share. https://t.co/y8vyESIOES"
HillaryClinton,.@TimKaine's guiding principle: the belief that you can make a difference through public service. https://t.co/YopSUeMqOX
timkaine,Glad the Senate could pass a #THUD / MilCon / VetAffairs approps bill with solid provisions for Virginia: https://t.co/NxIgRC3hDi
mike_pence,"RT @IndyThisWeek: An @rtv6 exclusive: @GovPenceIN sits down with @RafaelOnTV
See it Sunday morning at 8:30a on RTV6 and our RTV6 app. http:…"
timkaine,"From Chatham Town Council to Congress, @RepRobertHurt has made a strong mark on his community. Proud of our work together on behalf of VA!"
realDonaldTrump,"Thank you New Orleans, Louisiana!
#MakeAmericaGreatAgain #VoteTrump
https://t.co/tI1h9xT9GX https://t.co/0bf7BOlWEj"
realDonaldTrump,RT @realDonaldTrump: HAPPY 241st BIRTHDAY to the @USArmy! THANK YOU! https://t.co/mXsxkfcstC
mike_pence,RT @GovPenceIN: Excited to announce today plans to build the Indiana Neuro-Diagnostic Institute in partnership w/ @CHNw https://t.co/hy4yRC…
HillaryClinton,RT @SenSanders: My dad was born in Poland. Do you know how many people ever asked me whether or not I was born in America? Nobody ever aske…
timkaine,Positive relationships between faith groups &amp; law enforcement build more resilient communities https://t.co/6pfrSKVE72
TheDemocrats,#WeekendVibes https://t.co/1xMnHvClIu
timkaine,"Welcomed @SteveCase and the #RiseofRest tour to RVA this morning to talk innovation, talent &amp; entrepreneurial drive http://t.co/7aNiXSU4GK"
TheDemocrats,"Take it from a president: This Republican Party is dangerously extreme. #BetterThanThis
https://t.co/Wdw7YjR2J8"
GOP,We're watching the #DemDebate so you don't have to (or because you don't want to). https://t.co/60xfYNVbLa
TheDemocrats,The next president's spouse will have a big job to do on the campaign trail &amp; in the White House. #FollowFriday @janeosanders @billclinton
GOP,Obama is losing credibility with Syrian opposition leaders https://t.co/bANRRu2ktN
timkaine,Congratulations to Judge Hannah Lauck of Virginia on being confirmed to the Eastern District Court on a 90-0 vote! http://t.co/caafe41D4O
timkaine,I wrote to @USIndianAffairs calling for more flexibility in the federal recognition process for Indian tribes with unusual circumstances
timkaine,Congrats to VA National Guard WWII Army veteran Cary Jarvis for being decorated as a Knight of Legion of Honor by the French Government
realDonaldTrump,Leaving now for New Hampshire. Big crowd- looking forward to it! #FITN
timkaine,"Congrats to the #FinalFive on their outstanding performance in Rio—and a special congrats to Virginia native, @gabrielledoug!"
TheDemocrats,RT @GovernorVA: This morning Gov signed EO50 taking executive actions to keep guns out of dangerous hands. http://t.co/2R8mO3u5xv http://t.…
timkaine,Tune in to @wamu885 during your morning commute for my interview w/ @trulldc on kids fleeing violence in Honduras http://t.co/VOEgjjNU42
timkaine,RT @LakeAnneEs: Senator Tim Kaine read in Spanish to our 3rd Grade Spanish Immersion class today. #HispanicHeritageMonth http://t.co/cHpJAY…
realDonaldTrump,I am on @foxandfriends at 7:00 A.M. ENJOY!
realDonaldTrump,"""@CJCboi: @DRJAMESCABOT @realDonaldTrump @DanScavino @Carolde @PlaysTrumpCard Checked YOUR wallet lately, Mr Ailes?"""
timkaine,Heading to the Senate floor to make the case against #KeystoneXL. Watch my speech live here http://t.co/kHEbIigAJ6
GOP,.@timkaine falsely claims @ClintonFdn already stopped taking foreign &amp; corporate $$ https://t.co/8v5HuXzxPw https://t.co/NrV7nMrWHl
timkaine,"Great bfast at a Roanoke staple. Next up, Citizen Day to clean up the Blue Ridge Pkwy. Join us at mile marker 114.9! http://t.co/78R22bjdtN"
HillaryClinton,Donald Trump launched his campaign one year ago this week. And what a year it’s been. https://t.co/ag02ZD9QOP
TheDemocrats,RT to show your friends which party creates jobs. (Spoiler: it isn't Trump's GOP.) https://t.co/AxLXAd7j3k
HillaryClinton,"""The good news is that my pneumonia finally got some Republicans interested in women’s health.” —Hillary"
TheDemocrats,RT @WhiteHouse: Happening now: #YouTubeAsksObama your questions on @POTUS's final State of the Union → https://t.co/GH6bxTevt1
HillaryClinton,"""I learned from my family and my Methodist faith that we’re each called to do all the good we can for all the people we can."" —Hillary"
mike_pence,"RT @GovPenceIN: We can never fully repay our debt to Deputy Koontz for his service to this county, this state and this nation, but we can h…"
timkaine,Studies show rate of sea level rise is accelerating. This poses serious challenges for Hampton Roads #ActOnClimate http://t.co/2ef1dKSPWS
mike_pence,"RT @ABCPolitics: .@mike_pence on Clinton's deleted emails: ""That doesn't look like politics, folks, that looks like obstruction."" https://t…"
realDonaldTrump,"Just landed in Baton Rouge, Louisiana. Reports are out that lines are three quarters of a mile to get in. Wow! #MakeAmericaGreatAgain"
GOP,SIGN if you agree with Speaker Ryan: https://t.co/4sWAX3YjC8 https://t.co/Yp8sv9DI0h
timkaine,Honored to speak to veterans &amp; their families at the George Marshall International Center in Leesburg #VeteransDay https://t.co/BR8AJXS1e9
GOP,How Iowa went wrong for Hillary Clinton https://t.co/tyk9wq0OM8
GOP,RT @VirginiaJim16: Public service announcement-people of VA check your door there is a #TeamVa vol looking to chat #LeadRight2016 https://t…
HillaryClinton,"""We've got to make this economy work for everyone, not just those at the top."" —Hillary: https://t.co/Et5D2WbDNI"
HillaryClinton,RT @HillaryforFL: Rania doesn't understand why a country as great as the United States has never had a woman president. #ImWithHer https://…
HillaryClinton,"There's never been a campaign app like this before. Download it today to help Hillary win. https://t.co/K1Aw88vS9H
https://t.co/iJNSagEoVc"
mike_pence,RT @GovPenceIN: This week @FirstLadyIN &amp; I enjoyed one of our favorite summer pastimes http://t.co/FQQkjHz7EY
HillaryClinton,"""As he goes after women, as he goes after literally every group, I'm going to be their voice."" —Hillary on Trump
https://t.co/iNUo2EuTYO"
mike_pence,Preparing for a delicious meal with Kosciusko County Republicans! https://t.co/XrEHaQVDTL
mike_pence,"Over the past several years, almost 80,000 HOOSIERS have re-entered the workforce. Read more: http://t.co/D2yy8VYEg7  #INjobs"
GOP,Seven additional Clinton emails to be marked 'top secret' https://t.co/isXzAvSmr6
HillaryClinton,RT @sarajacobs89: GOP cares more about defunding @PPFA and protecting the Confederate flag than protecting millions from Zika: https://t.co…
mike_pence,RT @The_RGA: Tech firm bolts California for @Mike_Pence's pro-business Indiana: http://t.co/oLxEjOHa7l #INGOV #AStateThatWorks
mike_pence,RT @LGHolcomb: Cereal is an Indiana thing! @Indiana_Grown granola &amp; @IMS milk for lunch in celebration of #NationalCerealDay https://t.co/H…
realDonaldTrump,"Low energy Jeb Bush just endorsed a man he truly hates, Lyin’ Ted Cruz. Honestly, I can’t blame Jeb in that I drove him into oblivion!"
timkaine,Hosted great Citizen Day volunteer initiative w/ Colonial Heights Food Pantry to distribute food to residents in need http://t.co/kg0XDm2tea
HillaryClinton,RT @HillaryforOH: All smiles as we count down until @HillaryClinton and Elizabeth Warren take the stage in Cincy! #OHHillYes https://t.co/F…
timkaine,Shocked &amp; saddened by today's violent terror attack in Tel Aviv. The U.S. stands with Israel in mourning the loss of life &amp; seeking justice
realDonaldTrump,Thank you @DallasPD!  https://t.co/ORJyN4FsNI
timkaine,Thanks to @roanoketimes for writing about why I'm fighting for a new #AUMF after one year of unauthorized war vs ISIL http://t.co/pjzjFg0PZi
timkaine,Tire manufacturers in Salem know there's been wrongdoing from Chinese trade practices. @MarkWarner &amp; I know it too: http://t.co/cnVzWT6yPL
timkaine,"Thank you to all the dedicated nurses who care for the sick, elderly, our veterans and all those in need #NursesDay #NursesWeek"
realDonaldTrump,I will be talking about my wonderful experience in Iowa and the simultaneous unfair treatment by the media-later in New Hampshire. Big crowd
TheDemocrats,"RT @HillaryClinton: We think Trump's been involved in more than 5,500 lawsuits. We're going to try and read them all in 4 hours: https://t.…"
realDonaldTrump,"Nobody beats me on National Security. 
https://t.co/sCrj4Ha1I5"
TheDemocrats,"In becoming the party of Trump, the GOP has completely abandoned the American middle class: https://t.co/3SOLzGeqF1 https://t.co/C2fg1gvbu1"
HillaryClinton,"RT @HillaryForGA: If Trump doesn’t see all Americans or respect all Americans, how can he serve all Americans? #StrongerTogether https://t.…"
timkaine,"Every time I get to do a campaign event with Anne, it's like a vacation. https://t.co/dAV08A49lx"
GOP,RT @walkwalka25: The #SCOTUS nomination should go to the American people! Voters in Windham are signing in agreement! #LeadRight2016 https:…
mike_pence,"As Nation’s Largest Coal Company Goes Bankrupt, Hillary Supporter John Gregg Keeps His Head In The Sand https://t.co/5MrFLi1mtu @The_RGA"
GOP,.@HillaryClinton just couldn't stop sending classified info after she left the State Dept ➡️ https://t.co/tJmSgFdBHC https://t.co/gkeAhc6nRs
timkaine,RT @HillaryforWI: BREAKING: @TimKaine will be in Milwaukee this Friday. Reserve your spot here → https://t.co/fp4CHjIGvk https://t.co/WUTIX…
realDonaldTrump,"Thank you Montana! #Trump2016
https://t.co/rOvTapLnWG https://t.co/PyHiy7vjO6"
timkaine,Appreciate @POTUS's call for an #AUMF. Congress cannot let another year go by without debating &amp; authorizing the war vs ISIL #SOTU
timkaine,You can read my letter to Secretary Ash Carter here: http://t.co/01Gv2dmJnO
realDonaldTrump,"The Cruz campaign issued a dishonest and deceptive get out the vote ad calling voters ""in violation."" They are now under investigation. Bad!"
HillaryClinton,"Trump may talk a big game on trade, but his approach is based on fear, not strength—fear that we can’t compete with the rest of the world."
GOP,Clinton takes most campaign cash from the drug industry -- her “enemy”? #DemDebate https://t.co/STT894VmWs
realDonaldTrump,Networks other than low ratings @CNN have been very fair and exciting!
GOP,To stop Hillary's big gov proposals we MUST take back the White House in #2016 http://t.co/mkolfbPrg9 http://t.co/C3A5EEY7Ux
TheDemocrats,RT @BernieSanders: We have got to defeat Donald Trump and do everything we can to elect Hillary Clinton to the White house. #DemsInPhilly
GOP,"Why don't you want Hillary Clinton to be President? We have our reasons, but what are yours? https://t.co/Vke2sCEtoT https://t.co/evDSixhPe7"
GOP,"State Dept staffer who worked on Hillary's secret email server faces subpoena, pleads the 5th. http://t.co/njfnO7PkcF"
GOP,".@Reince: http://t.co/nWqmu2oQAb With Florida visit, Hillary Clinton shows she's still out-of-touch"
TheDemocrats,"""After a century of trying, we declared that health care in America is not a privilege for a few, but a right for everybody."" -Pres. Obama"
mike_pence,RT @GovPenceIN: I am pleased that our Attorney General is working with attorneys general from across the country to invalidate the regulati…
realDonaldTrump,"""@Ausbiz: @realDonaldTrump Trump is so impressive and no other politician has his passion &amp; energy to #MakeAmericaGreatAgain"
realDonaldTrump,Goofy Elizabeth Warren and her phony Native American heritage are on a Twitter rant. She is too easy! I'm driving her nuts.
mike_pence,"@Walmart employs around 36,000 Hoosiers and is now opening their eCommerce center here in Plainfield, Indiana!"
GOP,RT @AmandaESeth: On our way to the #GOPDebate with awesome volunteers! #LeadRight2016 #TeamFL #RNC #RPOF @Hannah_L_Hughes https://t.co/b80k…
HillaryClinton,"We'll reward companies that share profits with employees and pay a good wage. If they can do it for executives, they can do it for workers."
timkaine,"Headed to #TruCon15 to speak on the future of America's role in the world, global engagement, and passing a new #AUMF vs ISIL @TrumanProject"
GOP,Hillary struggles to connect w/ Dems on the campaign trail. http://t.co/x7WY1y1QvV #StopHillary
mike_pence,RT @GovPenceIN: Next Generation Hoosier Educators Scholarship aims to attract top-performing students to IN teaching profession https://t.c…
TheDemocrats,"""I keep asking myself — is this the kind of person I want to handle the nuclear codes?""
https://t.co/yj1hoham1h"
mike_pence,IN's economic successes have caused our unemployment rate to tumble below 5% for the first time in 7 years. http://t.co/QlLjf3cElz
